,item_code,URL
0,2956250,https://www.decathlon.co.jp/products/golf-light-stand-bag?variant=32149317943376
1,2713057,https://www.decathlon.co.jp/products/adult-golf-kit-7-clubs-100-regular-size-2-graphite?variant=31017655828560
2,2509643,https://www.decathlon.co.jp/products/soft-500-golf-ball-x12?variant=30884348723280
